<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.09	12:00:00	15411.6800	15464.4800	15379.9200	15390.2570	14156	0	1530
2024.06.09	16:00:00	15390.2540	15527.8440	15388.1580	15439.3800	14147	0	1530
2024.06.09	20:00:00	15439.3480	15568.0850	15438.5020	15548.9130	14146	0	1540
2024.06.10	00:00:00	15548.8780	15591.4630	15532.3830	15582.9420	14125	0	1550
2024.06.10	04:00:00	15582.9410	15606.3730	15511.7900	15587.9430	14147	0	1550
2024.06.10	08:00:00	15587.8990	15644.1690	15506.2360	15626.7000	14147	0	1550
2024.06.10	12:00:00	15626.6990	15696.6030	15596.3550	15596.3550	14145	0	1550
2024.06.10	16:00:00	15596.3470	15596.3470	15481.1530	15542.5110	14134	0	1540
2024.06.10	20:00:00	15542.5010	15542.5010	15495.1340	15514.8160	14138	0	1540
2024.06.11	00:00:00	15514.7850	15598.8410	15491.8120	15556.9850	14116	0	1540
2024.06.11	04:00:00	15556.9770	15671.7540	15550.3890	15643.8390	14135	0	1550
2024.06.11	08:00:00	15643.8140	15667.6990	15490.9540	15490.9540	14121	0	1540
2024.06.11	12:00:00	15490.9490	15539.4300	15459.0140	15526.1000	14140	0	1540
2024.06.11	16:00:00	15526.1000	15556.5380	15479.3860	15501.1470	14130	0	1540
2024.06.11	20:00:00	15501.1440	15548.7770	15463.9160	15518.0180	14162	0	1540
2024.06.12	00:00:00	15517.9990	15636.8160	15515.7710	15628.1210	14154	0	1550
2024.06.12	04:00:00	15628.1200	15708.3200	15608.1300	15694.1400	14146	0	1560
2024.06.12	08:00:00	15694.1090	15694.1090	15593.4820	15622.0460	14151	0	1550
2024.06.12	12:00:00	15622.0440	15669.5160	15558.8670	15569.2630	14162	0	1550
2024.06.12	16:00:00	15569.2580	15593.5620	15494.0940	15494.0940	14141	0	1540
2024.06.12	20:00:00	15494.0940	15503.3610	15388.6580	15420.7440	14143	0	1530
2024.06.13	00:00:00	15420.7060	15507.0980	15398.6570	15506.6790	14148	0	1540
2024.06.13	04:00:00	15506.6630	15613.9220	15488.8380	15586.5210	14139	0	1540
2024.06.13	08:00:00	15586.4990	15676.9350	15568.9210	15659.5770	14102	0	1550
2024.06.13	12:00:00	15659.5620	15711.7390	15569.9840	15570.1190	14158	0	1550
2024.06.13	16:00:00	15570.0990	15603.6690	15516.8360	15599.4440	14130	0	1550
2024.06.13	20:00:00	15599.4410	15617.8870	15489.8340	15527.8280	14141	0	1540
2024.06.14	00:00:00	15527.8040	15587.9530	15462.5860	15585.0450	14162	0	1540
2024.06.14	04:00:00	15585.0330	15682.7620	15554.3300	15679.5750	14123	0	1550
2024.06.14	08:00:00	15679.5680	15776.9860	15678.4980	15736.4850	14163	0	1560
2024.06.14	12:00:00	15736.4460	15752.3190	15687.8390	15719.7440	14169	0	1560
2024.06.14	16:00:00	15719.7060	15782.3780	15717.6070	15731.5000	14140	0	1570
2024.06.14	20:00:00	15731.4930	15811.5060	15723.2950	15739.5130	14152	0	1570
2024.06.15	00:00:00	15739.4960	15748.2180	15592.8230	15592.8230	14150	0	1550
2024.06.15	04:00:00	15592.8200	15706.4950	15553.2900	15699.3040	14122	0	1550
2024.06.15	08:00:00	15699.2900	15855.5020	15688.0290	15834.6490	14149	0	1560
2024.06.15	12:00:00	15834.6090	15876.7790	15772.4360	15873.0090	14150	0	1570
2024.06.15	16:00:00	15872.9840	15896.9260	15845.3820	15870.5090	14141	0	1580
2024.06.15	20:00:00	15870.4940	15902.7660	15820.7600	15881.8200	14147	0	1580
2024.06.16	00:00:00	15881.8170	15900.0560	15832.4670	15843.2050	13967	0	1580
2024.06.16	04:00:00	15843.1920	15870.3220	15780.4590	15780.4590	14149	0	1570
2024.06.16	08:00:00	15780.4410	15789.7330	15703.8910	15721.7360	14137	0	1570
2024.06.16	12:00:00	15721.7320	15736.1990	15620.9140	15678.0110	14131	0	1560
2024.06.16	16:00:00	15677.9970	15722.0140	15614.6250	15670.2260	14138	0	1560
2024.06.16	20:00:00	15670.2120	15724.1620	15625.1420	15625.1420	14170	0	1560
2024.06.17	00:00:00	15625.1340	15661.4880	15563.9680	15563.9680	14161	0	1550
2024.06.17	04:00:00	15563.9480	15602.4870	15550.6200	15580.6520	14134	0	1550
2024.06.17	08:00:00	15580.6450	15635.4360	15519.6490	15526.1020	14150	0	1550
2024.06.17	12:00:00	15526.0870	15648.3330	15525.7950	15625.6850	14124	0	1550
2024.06.17	16:00:00	15625.6600	15625.6600	15525.8920	15593.7410	14138	0	1550
2024.06.17	20:00:00	15593.7400	15593.7400	15462.8070	15462.8070	14156	0	1540
2024.06.18	00:00:00	15462.7850	15580.3680	15420.1950	15535.6810	14147	0	1540
2024.06.18	04:00:00	15535.6650	15549.3830	15462.0490	15485.8490	14128	0	1540
2024.06.18	08:00:00	15485.8290	15515.7600	15437.1640	15474.3180	14153	0	1540
