<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.27	00:00:00	5619.8850	5623.0920	5591.5010	5599.4300	13694	0	550
2024.03.27	04:00:00	5599.4310	5628.7810	5599.4310	5625.2760	13675	0	560
2024.03.27	08:00:00	5625.2850	5653.4580	5625.2850	5631.4730	13700	0	560
2024.03.27	12:00:00	5631.4760	5646.2780	5616.5540	5637.6510	13713	0	560
2024.03.27	16:00:00	5637.6550	5652.7460	5625.3360	5646.4140	13709	0	560
2024.03.27	20:00:00	5646.4150	5668.1520	5635.1180	5663.4090	13672	0	560
2024.03.28	00:00:00	5663.4150	5667.9070	5640.3520	5655.1970	13697	0	560
2024.03.28	04:00:00	5655.1990	5672.0110	5637.1730	5662.9790	13686	0	560
2024.03.28	08:00:00	5662.9790	5664.5510	5631.0050	5634.5010	13718	0	560
2024.03.28	12:00:00	5634.5030	5647.8120	5606.3710	5609.0390	13668	0	560
2024.03.28	16:00:00	5609.0460	5631.5610	5596.9650	5598.7720	13679	0	550
2024.03.28	20:00:00	5598.7720	5602.1490	5579.8220	5600.0530	13649	0	550
2024.03.29	00:00:00	5600.0590	5608.5400	5541.6180	5553.2600	13645	0	550
2024.03.29	04:00:00	5553.2630	5561.3860	5539.3160	5550.5670	13698	0	550
2024.03.29	08:00:00	5550.5700	5551.3920	5503.6010	5530.0940	13670	0	550
2024.03.29	12:00:00	5530.0960	5576.3450	5530.0960	5576.1720	13688	0	550
2024.03.29	16:00:00	5576.1750	5586.4840	5563.3920	5584.9280	13692	0	550
2024.03.29	20:00:00	5584.9320	5599.0010	5578.8730	5591.2850	13688	0	550
2024.03.30	00:00:00	5591.2870	5606.6210	5585.2000	5602.1300	13705	0	550
2024.03.30	04:00:00	5602.1310	5621.5780	5587.9380	5609.9410	13694	0	550
2024.03.30	08:00:00	5609.9430	5653.2040	5599.6610	5653.2040	13660	0	560
2024.03.30	12:00:00	5653.2070	5686.1990	5649.3670	5686.1990	13684	0	560
2024.03.30	16:00:00	5686.2020	5707.2190	5680.2290	5688.0450	13699	0	560
2024.03.30	20:00:00	5688.0510	5717.8900	5682.5780	5710.8830	13644	0	560
2024.03.31	00:00:00	5710.8850	5744.2380	5702.4670	5741.8190	13729	0	570
2024.03.31	04:00:00	5741.8240	5780.7740	5741.8240	5776.4770	13734	0	570
2024.03.31	08:00:00	5776.4790	5802.8570	5772.5460	5772.8830	13713	0	570
2024.03.31	12:00:00	5772.8920	5776.7510	5748.5520	5764.3510	13733	0	570
2024.03.31	16:00:00	5764.3560	5784.8650	5760.9620	5784.8650	13696	0	570
2024.03.31	20:00:00	5784.8670	5824.1410	5784.8670	5820.9170	13710	0	570
2024.04.01	00:00:00	5820.9170	5823.4980	5777.0400	5783.3210	13686	0	570
2024.04.01	04:00:00	5783.3300	5813.7300	5774.6270	5803.6820	13733	0	570
2024.04.01	08:00:00	5803.6860	5810.9530	5766.1550	5788.8280	13703	0	570
2024.04.01	12:00:00	5788.8360	5790.9510	5728.0690	5738.9580	13708	0	570
