<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.17	20276.6600	20276.6600	20047.5270	20172.3220	84991	0	2000
2024.11.18	20172.3050	20349.2760	20112.6220	20112.6220	85216	0	2010
2024.11.19	20112.6020	20327.0400	20104.0720	20114.4510	85182	0	2010
2024.11.20	20114.3950	20418.5890	20016.2150	20206.4720	85216	0	2000
2024.11.21	20206.4430	20432.2520	20047.4900	20362.0740	85209	0	2000
2024.11.22	20362.0730	20883.0140	20326.9500	20850.7270	85194	0	2030
2024.11.23	20850.6960	21044.2680	20688.1830	20849.0660	85282	0	2060
2024.11.24	20849.0570	20994.5840	20638.4760	20638.4760	85166	0	2060
2024.11.25	20638.4440	20659.2370	20380.1360	20403.3800	85248	0	2030
2024.11.26	20403.3470	20717.1880	20277.0560	20671.5150	85210	0	2020
2024.11.27	20671.4910	20858.6900	20593.0900	20593.0900	85204	0	2050
2024.11.28	20593.0840	20679.9540	20396.5680	20641.3290	85272	0	2030
2024.11.29	20641.3030	20836.4730	20472.4430	20786.2370	85216	0	2040
2024.11.30	20786.2200	21230.6580	20760.7400	21186.4720	85291	0	2070
2024.12.01	21186.4460	21234.8160	20802.9150	20837.5200	85251	0	2080
2024.12.02	20837.5160	20881.6130	20321.0360	20559.5590	85223	0	2030
2024.12.03	20559.5550	20709.0630	20414.5030	20629.0420	85272	0	2040
2024.12.04	20629.0300	20693.8040	20393.2280	20393.2280	85212	0	2030
2024.12.05	20393.2150	20647.3700	20366.1160	20463.3840	85228	0	2030
2024.12.06	20463.3840	21094.0930	20463.3410	21061.1510	85267	0	2040
2024.12.07	21061.1060	21091.7000	20513.1060	20599.0900	85242	0	2050
2024.12.08	20599.0440	20642.4520	20340.6970	20612.2800	85230	0	2030
2024.12.09	20612.2590	20647.4090	20293.3130	20470.8950	85230	0	2020
2024.12.10	20470.8850	20480.6700	19863.4260	19863.4260	85188	0	1980
2024.12.11	19863.4130	20072.1300	19752.5760	19987.2610	85222	0	1970
2024.12.12	19987.2340	20223.7460	19863.9400	19931.6140	85210	0	1980
2024.12.13	19931.5990	19962.3190	19715.5850	19753.2510	85249	0	1970
2024.12.14	19753.2440	19972.3150	19703.3880	19813.6880	85216	0	1970
2024.12.15	19813.6850	20043.2490	19787.2350	19982.0410	85023	0	1970
2024.12.16	19982.0290	20069.9180	19784.8060	20039.0930	85163	0	1970
2024.12.17	20039.0790	20092.3220	19845.3960	19872.4600	85177	0	1980
