<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.23	5584.7800	5644.0230	5565.6460	5603.2680	82049	0	550
2024.06.24	5603.2770	5615.5270	5465.7470	5468.6550	82085	0	540
2024.06.25	5468.6560	5476.5130	5417.3280	5452.4510	82061	0	540
2024.06.26	5452.4550	5482.2900	5420.1600	5469.8810	81989	0	540
2024.06.27	5469.8830	5513.3770	5435.9440	5488.6080	81956	0	540
2024.06.28	5488.6090	5517.1540	5374.6470	5393.7670	81961	0	530
2024.06.29	5393.7780	5451.2370	5317.4270	5327.1840	81941	0	530
2024.06.30	5327.1860	5424.1600	5279.2620	5413.6950	81920	0	520
2024.07.01	5413.7000	5455.2170	5379.9180	5446.2590	82050	0	530
2024.07.02	5446.2670	5462.7180	5401.2120	5443.4480	81972	0	540
2024.07.03	5443.4580	5490.8820	5434.7010	5490.7770	81987	0	540
2024.07.04	5490.7870	5493.5650	5407.9820	5468.8190	82046	0	540
2024.07.05	5468.8200	5514.1900	5462.8900	5514.1900	82128	0	540
2024.07.06	5514.1990	5524.2900	5477.8740	5516.3190	82022	0	540
2024.07.07	5516.3200	5560.8910	5459.3430	5529.3050	81910	0	540
2024.07.08	5529.3050	5544.6770	5463.3320	5473.5640	82050	0	540
2024.07.09	5473.5670	5541.2020	5462.7680	5495.8140	82008	0	540
2024.07.10	5495.8210	5509.1990	5406.8320	5433.3170	82112	0	540
2024.07.11	5433.3200	5476.1110	5385.3890	5466.8630	82056	0	530
2024.07.12	5466.8700	5521.9200	5452.0050	5521.9200	81922	0	540
2024.07.13	5521.9240	5529.1060	5448.2830	5514.0480	82199	0	540
2024.07.14	5514.0570	5566.0290	5495.7860	5566.0290	81832	0	540
2024.07.15	5566.0310	5582.3410	5502.0420	5574.0700	82045	0	550
2024.07.16	5574.0720	5693.9110	5548.5390	5652.3340	82086	0	550
2024.07.17	5652.3430	5723.2940	5625.6410	5705.7890	82182	0	560
2024.07.18	5705.7960	5744.5710	5663.8290	5732.9760	82152	0	560
2024.07.19	5732.9860	5769.6140	5713.4070	5726.7390	82118	0	570
2024.07.20	5726.7460	5732.3250	5642.2910	5688.4940	82067	0	560
2024.07.21	5688.4990	5796.8170	5659.6070	5761.5990	82236	0	560
2024.07.22	5761.6070	5832.0310	5739.0070	5809.0980	82179	0	570
2024.07.23	5809.1030	5864.4350	5796.7060	5835.8700	82198	0	570
2024.07.24	5835.8750	5929.4380	5829.6670	5889.5390	82257	0	580
2024.07.25	5889.5440	5932.4850	5866.9490	5875.3380	82301	0	580
2024.07.26	5875.3390	5924.3750	5821.4020	5906.1930	82347	0	580
2024.07.27	5906.1970	5957.9910	5879.7730	5908.9770	82312	0	580
2024.07.28	5908.9790	5988.3930	5898.6600	5957.7340	82475	0	580
2024.07.29	5957.7400	5963.1290	5893.6940	5932.9390	82336	0	580
2024.07.30	5932.9400	5949.9850	5782.9500	5839.8100	82328	0	570
2024.07.31	5839.8190	5869.5940	5757.6010	5760.6760	82336	0	570
2024.08.01	5760.6780	5763.8250	5590.3460	5603.7350	82228	0	550
2024.08.02	5603.7460	5672.3980	5581.7450	5654.8670	82069	0	550
2024.08.03	5654.8760	5743.4540	5653.7850	5738.9370	82232	0	560
2024.08.04	5738.9470	5766.1670	5666.8910	5671.4950	82165	0	560
2024.08.05	5671.4970	5781.9460	5662.7200	5774.3850	81169	0	560
2024.08.06	5774.3870	5799.9730	5721.2780	5798.9230	82241	0	570
2024.08.07	5798.9280	5855.2680	5664.4150	5689.1060	82207	0	560
2024.08.08	5689.1100	5741.8440	5666.8570	5674.1830	82278	0	560
2024.08.09	5674.1940	5729.0220	5657.6680	5694.0330	82202	0	560
2024.08.10	5694.0390	5767.0020	5691.7560	5764.6220	82227	0	560
2024.08.11	5764.6240	5777.4270	5715.8450	5724.9630	82254	0	570
2024.08.12	5724.9760	5835.0930	5721.5320	5771.4220	82265	0	570
2024.08.13	5771.4250	5844.4780	5754.0060	5791.3350	82281	0	570
2024.08.14	5791.3370	5807.2370	5669.6620	5749.2550	82245	0	560
2024.08.15	5749.2620	5825.3890	5731.1440	5806.8040	82340	0	570
2024.08.16	5806.8050	5823.7760	5729.7230	5783.9930	82372	0	570
2024.08.17	5783.9970	5828.7540	5763.0840	5765.6520	82247	0	570
2024.08.18	5765.6570	5795.3910	5735.7240	5781.0670	82100	0	570
2024.08.19	5781.0690	5809.0780	5715.9620	5770.0850	82164	0	570
2024.08.20	5770.0910	5774.4490	5653.5940	5715.0380	82127	0	560
2024.08.21	5715.0380	5806.1580	5679.2590	5806.1580	82237	0	560
2024.08.22	5806.1600	5892.0190	5742.8930	5887.2640	82267	0	570
2024.08.23	5887.2640	5960.3270	5871.5340	5876.8700	82311	0	580
2024.08.24	5876.8740	5911.0570	5837.1880	5850.1720	82281	0	580
2024.08.25	5850.1790	5896.3500	5836.5790	5860.9330	82434	0	580
2024.08.26	5860.9390	5990.1620	5860.9390	5962.1920	82361	0	580
2024.08.27	5962.2010	6035.7120	5932.1480	6009.0620	82404	0	590
